created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 06 23:58:01 +0000 2023;1721678354594893837;"@mkmk_nikkori めんた～～～～♥️♥️うれしいありがとうすき";0;0;0;0;ja;1654045315358679040;1720806731478147566;s7chb2;https://twitter.com/s7chb2/status/1721678354594893837
Mon Nov 06 23:56:58 +0000 2023;1721678088189473023;"@jumpingokami 坂ちんかわいい？ちょっと見てみようかなぁ🤔";0;1;0;0;ja;2315068182;1721404594721615881;mkmk4326;https://twitter.com/mkmk4326/status/1721678088189473023
Mon Nov 06 23:56:07 +0000 2023;1721677877392064649;"@tvOneNews semoga MKMK tidak ngeprank kita semua.";0;0;0;0;in;1148477895737667585;1721453435323928950;tamtam_tao;https://twitter.com/tamtam_tao/status/1721677877392064649
Mon Nov 06 23:55:02 +0000 2023;1721677603185275391;"いや㊙️情報じゃなくてそもそも可愛いだろ舐めんな";0;0;0;11;ja;1479752283772829701;1721677603185275391;mkmk_arcadia;https://twitter.com/mkmk_arcadia/status/1721677603185275391
Mon Nov 06 23:53:47 +0000 2023;1721677287052165618;"ジャングルポケット㊙️情報  めちゃくちゃかわいい";0;0;0;9;ja;1479752283772829701;1721677287052165618;mkmk_arcadia;https://twitter.com/mkmk_arcadia/status/1721677287052165618
Mon Nov 06 23:53:29 +0000 2023;1721677213052064173;"@mkmk_233 https://t.co/5shrWEpk84";0;0;0;1;qme;1657921846644441089;1721120308147716607;anciNEKO;https://twitter.com/anciNEKO/status/1721677213052064173
Mon Nov 06 23:51:37 +0000 2023;1721676743155781696;"@FayaAtika Lho... Anda kok benar.... mkmkmkmkmk dan apapun putusan MKMK, saya pastikan tidak pilih PRABOWO atau ANIES.";0;1;0;3;in;1560148332429049857;1721671441769443599;AnglerNdablex;https://twitter.com/AnglerNdablex/status/1721676743155781696
Mon Nov 06 23:51:27 +0000 2023;1721676702668193967;"Ini jika lho!!   Jika MKMK bisa atau membatalkan putusan MK , dan merubah pasangan cawapres   Yang kemarin terzolimi merasa keadilan sudah tegak lurus  Dan sebaliknya yang kemarin merasa putusan MK bisa melangengkan kekuasan sekarang akan berbalik merasa terzolimi";0;0;0;0;in;148246730;1721676702668193967;dj_oco;https://twitter.com/dj_oco/status/1721676702668193967
Mon Nov 06 23:51:22 +0000 2023;1721676680824234271;"@JohnKikuk @GibranRakabumi Penentuhan hari ini smg MKMK membatalkan ambisi manusia kemaruk ini..";0;0;0;0;in;1299892382335344641;1721335289057366087;MardiSiswoyo15;https://twitter.com/MardiSiswoyo15/status/1721676680824234271
Mon Nov 06 23:50:48 +0000 2023;1721676536456298830;"@mkmk___hn 語ろ語ろ🫶🏻本当に！！見た時変な声出たし、LALALALAもえぐかった🫠";0;0;0;0;ja;1698506867889016832;1719127088064852287;03Myaco;https://twitter.com/03Myaco/status/1721676536456298830
Mon Nov 06 23:50:36 +0000 2023;1721676486917439805;"Menjelang putusan MKMK ,serreeem...!!! https://t.co/Fr5VO2PPnO";0;0;0;0;in;1703944570944593920;1721676486917439805;SeloAdi353036;https://twitter.com/SeloAdi353036/status/1721676486917439805
